,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.0,0.01,2.267,32.054,73.9098,53.8667,91.7425,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
1,1,0.0,0.01,1.045,72.228,97.4912,80.9632,99.0902,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
2,2,0.0,0.01,0.466,85.436,99.1996,86.6594,99.555,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
3,3,0.0,0.01,0.34,89.674,99.5724,90.5756,99.7528,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
4,4,0.0,0.01,0.261,92.122,99.7642,92.8797,99.7924,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
5,5,0.0,0.01,0.215,93.47,99.8501,93.9181,99.8418,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
6,6,0.0,0.01,0.184,94.342,99.8761,94.9862,99.8517,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
7,7,0.0,0.01,0.165,94.842,99.8881,95.1444,99.8418,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
8,8,0.0,0.01,0.148,95.392,99.9101,95.1444,99.8418,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
9,9,0.0,0.01,0.138,95.676,99.9141,96.1531,99.8715,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
10,10,0.0,0.01,0.126,96.12,99.9261,96.2817,99.8913,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
